ID_No,Latitude,Longitude,Depth,Temperature
356,71.10,22.43,349,3.95
357,71.32,23.68,382,3.75
358,71.60,24.90,294,3.45
359,71.27,25.88,304,3.65
363,71.52,28.12,384,3.35
364,71.48,29.10,344,3.65
365,71.10,29.92,347,3.55
366,71.03,30.87,300,3.85
367,71.32,31.20,260,2.95
368,71.30,32.15,256,3.35
369,71.22,33.15,254,2.55
370,71.58,32.37,297,2.65
371,71.68,31.25,332,2.85
372,71.72,30.77,358,1.95
373,72.02,31.67,320,1.65
375,72.25,32.93,285,1.25
376,72.45,34.32,285,0.15
377,72.72,35.60,234,0.65
378,72.83,34.58,228,0.55
379,72.90,33.33,227,0.35
380,72.62,32.05,268,0.95
381,72.35,30.78,295,2.85
382,72.08,29.43,290,3.05
383,71.82,28.17,308,3.25
384,71.55,27.00,350,3.35
385,71.93,26.07,280,3.35
386,72.22,27.25,234,3.15
387,72.48,28.55,305,2.85
388,72.75,29.53,296,1.65
389,73.02,31.23,286,2.35
390,73.28,32.55,277,1.85
391,73.62,34.13,294,0.95
392,73.67,35.18,255,1.25
393,73.87,34.22,305,0.55
394,73.93,33.02,297,0.75
395,73.67,31.78,348,2.15
396,73.38,30.18,350,2.45
397,73.17,28.88,334,2.45
398,72.92,27.60,300,2.45
399,72.60,26.33,290,2.95
400,72.28,25.17,273,3.35
401,72.65,24.10,335,3.35
402,73.02,25.43,438,1.85
403,73.25,26.80,440,2.15
404,73.53,28.07,382,2.15
405,73.80,29.42,358,1.85
406,74.12,30.83,315,0.65
407,74.43,30.92,285,0.95
409,74.33,32.15,225,0.35
410,74.75,31.25,300,1.35
411,75.08,31.43,347,0.55
412,75.40,31.85,306,0.75
413,75.72,32.10,311,1.15
414,75.93,33.42,272,0.35
415,75.73,32.55,306,0.55
416,75.47,30.50,375,1.05
417,75.82,30.77,327,0.95
418,75.62,29.10,317,0.95
419,75.62,28.05,256,0.35
420,75.18,27.63,278,0.55
428,75.22,29.05,342,0.85
429,75.12,30.33,380,1.25
430,74.80,30.00,384,1.05
431,74.48,29.78,373,1.15
432,74.17,29.48,372,1.65
439,74.18,28.28,394,1.85
440,74.53,28.50,395,1.35
441,74.85,28.77,362,0.85
442,74.92,27.35,324,1.05
443,74.62,26.17,332,1.15
444,74.58,27.23,379,1.05
445,74.25,27.00,408,1.45
446,73.90,26.97,415,1.55
447,73.60,25.67,439,1.85
448,73.32,24.28,398,2.05
449,73.03,23.02,399,1.85
450,73.02,21.92,434,2.05
451,73.08,20.95,455,1.65
453,74.27,23.98,370,1.45
454,73.95,22.15,474,1.55
455,73.67,20.63,486,1.65
456,73.70,19.65,362,1.65
457,73.75,18.55,263,1.55
458,74.07,17.30,209,1.85
459,74.33,16.87,215,2.35
460,73.12,18.52,420,2.05
461,73.12,19.70,432,1.85
462,70.83,21.32,167,4.45
465,73.38,17.37,462,1.95